Keys:		16 bytes each
Values: 	1000 bytes each
Entries:	600000
IndexSize:	14.31 MiB (estimated)
DataSize:	574.49 MiB (estimated)
---------------------------------------------------------------------------------------------------
Date:		Wed Apr  2 20:11:41 2025
CPU:		2 * AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx
CPUCache:	512 KB
---------------------------------------------------------------------------------------------------
Starting benchmark...
Requested Total Ops: 600000
Threads: 25, Write Ratio: 80%
Random Keys: Yes
---------------------------------------------------------------------------------------------------
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.881 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.881 - sst.c:165 The merge thread received a MERGE job
[5580] 02 Apr 20:11:41.881 . sst.c:166 Merging inside compaction thread
[5580] 02 Apr 20:11:41.881 . sst.c:608 Compacting the memtable to a SST file
[5580] 02 Apr 20:11:41.881 - sst.c:877 Range [0027al818z3y9j67, zzz1bew20kefgjp3] DOES NOT overlap in level 0. Checking others
[5580] 02 Apr 20:11:41.881 - sst.c:825 Extracted range: [0027al818z3y9j67, zzz1bew20kefgjp3]
[5580] 02 Apr 20:11:41.881 - sst.c:825 Extracted range: [0027al818z3y9j67, zzz1bew20kefgjp3]
[5580] 02 Apr 20:11:41.881 . sst.c:929 Using level 2 for memtable compaction [0027al818z3y9j67, zzz1bew20kefgjp3]
[5580] 02 Apr 20:11:41.881 . file.c:200 Creating directory structure: testdb/si/2
[5580] 02 Apr 20:11:41.882 - file.c:211  -> Creating testdb/si/2
[5580] 02 Apr 20:11:41.882 . sst.c:633 Compaction of 4117 [4195223 bytes allocated] elements started
[5580] 02 Apr 20:11:41.917 - sst_builder.c:167 Index block @ offset: 0x4F6EC size: 19740
[5580] 02 Apr 20:11:41.918 - sst_builder.c:168 Meta block @ offset: 0x4F6A4 size: 72
[5580] 02 Apr 20:11:41.918 - sst_builder.c:171 Bloom block @ offset: 0x4D000 size: 9892
[5580] 02 Apr 20:11:41.918 - file.c:170 Truncating file testdb/si/2/0.sst to 345168 bytes
[5580] 02 Apr 20:11:41.921 . file.c:65 Mapping of 345168 bytes for testdb/si/2/0.sst
[5580] 02 Apr 20:11:41.921 - sst_loader.c:183 Index @ offset: 325356 size: 19740
[5580] 02 Apr 20:11:41.921 - sst_loader.c:184 Meta Block @ offset: 325284 size: 72
[5580] 02 Apr 20:11:41.921 . sst_loader.c:201 Data size:        315392
[5580] 02 Apr 20:11:41.922 . sst_loader.c:203 Index size:       0
[5580] 02 Apr 20:11:41.922 . sst_loader.c:204 Key size:         65872
[5580] 02 Apr 20:11:41.922 . sst_loader.c:205 Num blocks size:  824
[5580] 02 Apr 20:11:41.922 . sst_loader.c:206 Num entries size: 4117
[5580] 02 Apr 20:11:41.922 . sst_loader.c:207 Value size:       4117000
[5580] 02 Apr 20:11:41.922 . sst_loader.c:210 Filter size:      9892
[5580] 02 Apr 20:11:41.922 . sst_loader.c:211 Bloom offset 315392 size: 9892
[5580] 02 Apr 20:11:41.922 . sst.c:635 Compaction of 4117 elements finished
[5580] 02 Apr 20:11:41.923 - file.c:170 Truncating file testdb/si/manifest to 44 bytes
[5580] 02 Apr 20:11:41.927 . sst.c:51 --- Level 0 [  0 files,   0 bytes]---
[5580] 02 Apr 20:11:41.927 . sst.c:51 --- Level 1 [  0 files,   0 bytes]---
[5580] 02 Apr 20:11:41.927 . sst.c:51 --- Level 2 [  1 files, 337 KiB  ]---
